Sigma;Epsilon;Void;Energy
171;0.032;0.614624;2.64475
219;0.0365;0.607118;3.52225
319;0.045;0.59294;5.80875
700;0.0685;0.553742;17.782
898;0.077;0.539564;24.5735
1101;0.085;0.52622;32.5695
1300;0.092;0.514544;40.973
1499;0.0975;0.50537;48.67025
