Smp;EGE;Sand;Silt;Clay;PI;ACT
GJ6805;6;61.91081521;28.09694186;10;13.6;1.36
GJ6807;6;57.39223915;31.55252482;11.1;12.5;1.13
GJ6835;6;67.40222177;21.81156475;10.8;9.8;0.91
GJ6838;6;70.43567229;21.20523961;8.4;10.8;1.3
