Sigma;Epsilon;Void;Energy
338;0.0065;0.345199;1.0985
437;0.009;0.341814;2.06725
537;0.0115;0.338429;3.28475
736;0.0165;0.331659;6.46725
939;0.021;0.325566;10.236
1137;0.024;0.321504;13.35
1338;0.026;0.318796;15.825
1537;0.028;0.316088;18.7
1738;0.0305;0.312703;22.79375
1935;0.0335;0.308641;28.30325
2137;0.036;0.305256;33.39325
2336;0.0415;0.297809;45.694
2536;0.043;0.295778;49.348
