Sigma;Epsilon;Void;Energy
183.5;0.0135;0.633644;1.238625
281.9;0.019;0.624536;2.518475
382.700026;0.0245;0.615428;4.346125071
484.799981;0.03;0.60632;6.731750091
584.3;0.0355;0.597212;9.671775039
681.7;0.0405;0.588932;12.83677504
782.5;0.0455;0.580652;16.49727504
882.59995;0.0505;0.572372;20.66002491
984.1;0.054;0.566576;23.92674983
1084.19991;0.0575;0.56078;27.54627467
184.1;0.048;0.576512;21.5218501
284.5;0.048;0.576512;21.5218501
383.299977;0.05;0.5732;22.18965007
582.2;0.053;0.568232;23.63790004
783.099949;0.056;0.563264;25.68584996
982.7;0.0585;0.559124;27.8930999
1182.2;0.062;0.553328;31.6816749
1383.40008;0.0655;0.547532;36.17147504
1582.6;0.07;0.54008;42.84497522
1783.1;0.0755;0.530972;52.10065022
1984.3;0.0805;0.522692;61.51915022
2183.5;0.085;0.51524;70.89670022
2384;0.089;0.508616;80.03170022
2183.5;0.089;0.508616;80.03170022
2084.9;0.089;0.508616;80.03170022
1983;0.089;0.508616;80.03170022
1883.69989;0.0885;0.509444;79.06502525
1784.5;0.0885;0.509444;79.06502525
1685.2;0.088;0.510272;78.19760025
1583.3;0.0875;0.5111;77.38047525
1483.4;0.087;0.511928;76.61380025
1386.09993;0.087;0.511928;76.61380025
1284.8;0.0865;0.512756;75.94607526
1182.90007;0.086;0.513584;75.32915025
1084.1;0.085;0.51524;74.19565021
984.7;0.084;0.516896;73.16125021
884.6;0.083;0.518552;72.22660021
785.8;0.0815;0.521036;70.97380021
685.7;0.08;0.52352;69.87017521
584.2;0.078;0.526832;68.60027521
485.4;0.076;0.530144;67.53067521
385.299981;0.0735;0.534284;66.44230023
285.2;0.071;0.538424;65.60417526
183.5;0.067;0.545048;64.66677526
