Sigma;Epsilon;Void;Energy
118;0.0045;0.4424795;0.2655
143;0.007;0.438857;0.59175
169;0.0095;0.4352345;0.98175
218;0.0145;0.4279895;1.94925
319;0.0225;0.4163975;4.09725
599;0.038;0.393938;11.21175
799;0.0445;0.3845195;15.75525
999;0.0495;0.3772745;20.25025
1250;0.055;0.369305;26.435
1500;0.06;0.36206;33.31
1751;0.0635;0.3569885;38.99925
2002;0.067;0.351917;45.567
