Sigma;Epsilon
24;0
252;0.021
299;0.0235
349;0.027
400;0.0295
348;0.0295
299;0.0295
400;0.03
600;0.0415
798;0.0505
999;0.059
1200;0.0645
1002;0.064
1200;0.0655
1499;0.0735
1998;0.086
2498;0.095
