Sigma;Epsilon;Void;Energy
85.7;0.024;0.402512;1.0284
184.1;0.0365;0.3845495;2.71465
284.4;0.0445;0.3730535;4.58865
385;0.051;0.363713;6.7642
485;0.056;0.356528;8.9392
584.9;0.0605;0.3500615;11.346475
685.5;0.0645;0.3443135;13.887275
784.8;0.068;0.339284;16.4603
884.8;0.071;0.334973;18.9647
984.8;0.0735;0.3313805;21.3017
87;0.074;0.330662;21.56965
186.2;0.0735;0.3313805;21.50135
285.1;0.0735;0.3313805;21.50135
485.7;0.0745;0.3299435;21.88675
685;0.075;0.329225;22.179425
884.900033;0.076;0.327788;22.96437502
1084.8;0.0765;0.3270695;23.45680002
1285.4;0.078;0.324914;25.23445002
1484.2;0.08;0.32204;28.00405002
1684.40008;0.083;0.317729;32.75695014
1885.9;0.086;0.313418;38.11240026
2086.1;0.0885;0.3098255;43.07740026
2286.3;0.091;0.306233;48.54290026
2084.1;0.091;0.306233;48.54290026
1985;0.0905;0.3069515;47.52562526
1885.9;0.0905;0.3069515;47.52562526
1786.8;0.0905;0.3069515;47.52562526
1685.69994;0.0905;0.3069515;47.52562526
1585.30009;0.09;0.30767;46.70787526
1486.9;0.09;0.30767;46.70787526
1385.1;0.09;0.30767;46.70787526
1286;0.0895;0.3083885;46.04010026
1185.4;0.0895;0.3083885;46.04010026
1087.40008;0.0895;0.3083885;46.04010026
987.5;0.089;0.309107;45.52137524
886.9;0.089;0.309107;45.52137524
787.6;0.0885;0.3098255;45.10275024
686.9;0.088;0.310544;44.73412524
587;0.0875;0.3112625;44.41565024
486.4;0.087;0.311981;44.14730024
386.399984;0.086;0.313418;43.71090025
286.5;0.0845;0.3155735;43.20622526
186.2;0.0825;0.3184475;42.73352526
85.7;0.079;0.323477;42.25770026
