Sigma;Epsilon;Void;Energy
120;0.037;0.650582;2.22
146;0.041;0.643726;2.752
169;0.046;0.635156;3.5395
219;0.053;0.623158;4.8975
319;0.0645;0.603447;7.991
699;0.0995;0.543457;25.806
899;0.114;0.518604;37.3915
1099;0.126;0.498036;49.3795
1299;0.136;0.480896;61.3695
1500;0.1455;0.464613;74.66475
