Smp;EGE;Sand;Silt;Clay;PI;ACT
GJ6822;8à;13.97884365;57.25640238;28.8;34.6;1.2
GJ6884;8à;30.7356963;47.81731307;21.4;31.2;1.45
GJ6888;8à;49.27398398;36.1146952;14.6;38.2;2.61
GJ6890;8à;51.70988953;37.05957794;11.2;34.5;3.07
GJ6846;8á;31.27252929;43.72339128;25;46.9;1.87
