Sigma;Epsilon
319;0.021
492;0.0295
591;0.034
644;0.0355
693;0.037
642;0.037
593;0.037
691;0.0375
892;0.0455
1094;0.0535
1294;0.059
1491;0.063
1293;0.0625
1494;0.0635
1794;0.0695
2293;0.0805
