Sigma;Epsilon;Void;Energy
24;0;0.549;0
252;0.0235;0.5125985;3.243
299;0.026;0.508726;3.93175
349;0.0295;0.5033045;5.06575
400;0.032;0.499432;6.002
348;0.032;0.499432;6.002
299;0.032;0.499432;6.002
400;0.0325;0.4986575;6.17675
600;0.044;0.480844;11.92675
798;0.053;0.466903;18.21775
999;0.0615;0.4537365;25.855
1200;0.067;0.445217;31.90225
1002;0.0665;0.4459915;31.35175
1200;0.068;0.443668;33.00325
1499;0.076;0.431276;43.79925
1998;0.0885;0.4119135;65.6555
2498;0.0975;0.3979725;85.8875
