Sigma;Epsilon;Void;Energy
296;0.031;0.495167;4.588
468;0.042;0.478194;8.79
568;0.0465;0.4712505;11.121
619;0.0485;0.4681645;12.308
669;0.051;0.464307;13.918
619;0.051;0.464307;13.918
570;0.051;0.464307;13.918
669;0.0515;0.4635355;14.22775
871;0.061;0.448877;21.54275
1069;0.069;0.436533;29.30275
1270;0.074;0.428818;35.15025
1469;0.08;0.41956;43.36725
1270;0.08;0.41956;43.36725
1470;0.08;0.41956;43.36725
1770;0.087;0.408759;54.70725
2270;0.0975;0.3925575;75.91725
