Sigma;Epsilon;Void;Energy
241.6;0.066;0.54577;7.9728
340.10002;0.0735;0.5333575;10.15417508
440.9;0.0805;0.5217725;12.88767515
541.799963;0.0865;0.5118425;15.83577503
641.299963;0.091;0.504395;18.49774987
741.4;0.0955;0.4969475;21.60882478
841;0.1;0.4895;25.16922478
940.5;0.1035;0.4837075;28.28684978
1041.3;0.1065;0.4787425;31.25954978
1142.1;0.1095;0.4737775;34.53464978
242.600009;0.1065;0.4787425;32.45759977
342.7;0.107;0.477915;32.60392477
440.3;0.1075;0.4770875;32.79967477
640.599966;0.109;0.474605;33.61034975
841.6;0.11;0.47295;34.35144973
1041.9;0.111;0.471295;35.29319973
1242.3;0.1125;0.4688125;37.00634973
1440.59992;0.1155;0.4638475;41.03069961
1640.9;0.119;0.458055;46.42332447
1843.2;0.1225;0.4522625;52.52049947
2042.19985;0.1265;0.4456425;60.29129917
2241.9;0.1295;0.4406775;66.71744895
2440.19985;0.133;0.434885;74.91112368
2241.2;0.1325;0.4357125;73.74077372
2141.39986;0.1325;0.4357125;73.74077372
2043.5;0.1325;0.4357125;73.74077372
1940.4;0.1325;0.4357125;73.74077372
1841.9;0.132;0.43654;72.79519872
1742.7;0.132;0.43654;72.79519872
1643.5;0.1315;0.4373675;71.94864872
1541.1;0.1315;0.4373675;71.94864872
1443.2;0.1315;0.4373675;71.94864872
1341.4;0.131;0.438195;71.25249872
1241.59992;0.131;0.438195;71.25249872
1141.5;0.1305;0.4390225;70.65672374
1041.9;0.13;0.43985;70.11087374
941.1;0.1295;0.4406775;69.61512374
841.6;0.129;0.441505;69.16944874
740.799963;0.1285;0.4423325;68.77384875
641.299963;0.128;0.44316;68.42832377
541.099966;0.127;0.444815;67.8371238
442.3;0.126;0.44647;67.34542382
342.1;0.1245;0.4489525;66.75712382
242.600009;0.1225;0.4522625;66.17242381
