Sigma;Epsilon;Void;Energy
319;0.021;0.402907;3.3495
492;0.0295;0.3907265;6.79625
591;0.034;0.384278;9.233
644;0.0355;0.3821285;10.15925
693;0.037;0.379979;11.162
642;0.037;0.379979;11.162
593;0.037;0.379979;11.162
691;0.0375;0.3792625;11.483
892;0.0455;0.3677985;17.815
1094;0.0535;0.3563345;25.759
1294;0.059;0.348453;32.326
1491;0.063;0.342721;37.896
1293;0.0625;0.3434375;37.2
1494;0.0635;0.3420045;38.5935
1794;0.0695;0.3334065;48.4575
2293;0.0805;0.3176435;70.936
