Sigma;Epsilon;Void;Energy
24;0.003;0.568281;0.036
234;0.0345;0.5187315;4.0995
300;0.04;0.51008;5.568
349;0.044;0.503788;6.866
398;0.0485;0.4967095;8.54675
349;0.048;0.497496;8.36
298;0.048;0.497496;8.36
400;0.049;0.495923;8.709
599;0.0655;0.4699685;16.95075
799;0.0795;0.4479465;26.73675
998;0.0905;0.4306435;36.62025
1199;0.1;0.4157;47.056
1001;0.0995;0.4164865;46.506
1198;0.1005;0.4149135;47.6055
1501;0.1105;0.3991835;61.1005
2000;0.1265;0.3740155;89.1085
2501;0.137;0.357499;112.73875
