Sigma;Epsilon
24;0.003
234;0.0345
300;0.04
349;0.044
398;0.0485
349;0.048
298;0.048
400;0.049
599;0.0655
799;0.0795
998;0.0905
1199;0.1
1001;0.0995
1198;0.1005
1501;0.1105
2000;0.1265
2501;0.137
