Sigma;Epsilon;Void;Energy
120;0;0.695;0
144;0.0005;0.6941525;0.066
169;0.002;0.69161;0.30075
219;0.0055;0.6856775;0.97975
319;0.0135;0.6721175;3.13175
599;0.034;0.63737;12.54125
799;0.0435;0.6212675;19.18175
999;0.0525;0.6060125;27.27275
1249;0.061;0.591605;36.82675
1501;0.0695;0.5771975;48.51425
1751;0.076;0.56618;59.08325
2000;0.082;0.55601;70.33625
