Sigma;Epsilon;Void;Energy
118.300006;0.036;0.688928;2.129400108
145.9;0.0395;0.682796;2.591750119
169.60001;0.0435;0.675788;3.222750139
218.9;0.05;0.6644;4.485375171
317.9;0.0615;0.644252;7.571975171
696.8;0.093;0.589064;23.55350017
897.799969;0.104;0.569792;32.3238
1097.5;0.114;0.552272;42.30029985
1298;0.1215;0.539132;51.28342485
1497;0.128;0.527744;60.36717485
