Sigma;Epsilon
296;0.031
468;0.042
568;0.0465
619;0.0485
669;0.051
619;0.051
570;0.051
669;0.0515
871;0.061
1069;0.069
1270;0.074
1469;0.08
1270;0.08
1470;0.08
1770;0.087
2270;0.0975
