Sigma;Epsilon
183.5;0.0135
281.9;0.019
382.700026;0.0245
484.799981;0.03
584.3;0.0355
681.7;0.0405
782.5;0.0455
882.59995;0.0505
984.1;0.054
1084.19991;0.0575
184.1;0.048
284.5;0.048
383.299977;0.05
582.2;0.053
783.099949;0.056
982.7;0.0585
1182.2;0.062
1383.40008;0.0655
1582.6;0.07
1783.1;0.0755
1984.3;0.0805
2183.5;0.085
2384;0.089
2183.5;0.089
2084.9;0.089
1983;0.089
1883.69989;0.0885
1784.5;0.0885
1685.2;0.088
1583.3;0.0875
1483.4;0.087
1386.09993;0.087
1284.8;0.0865
1182.90007;0.086
1084.1;0.085
984.7;0.084
884.6;0.083
785.8;0.0815
685.7;0.08
584.2;0.078
485.4;0.076
385.299981;0.0735
285.2;0.071
183.5;0.067
