Sigma;Epsilon
0.338;0.0065
0.437;0.009
0.537;0.0115
0.736;0.0165
0.939;0.021
1.137;0.024
1.338;0.026
1.537;0.028
1.738;0.0305
1.935;0.0335
2.137;0.036
2.336;0.0415
2.536;0.043
