Sigma;Epsilon;Void;Energy
119;0.025;0.434225;1.4875
144;0.0275;0.4305475;1.81625
171;0.0295;0.4276055;2.13125
219;0.035;0.419515;3.20375
319;0.044;0.406276;5.62475
700;0.067;0.372443;17.34325
900;0.073;0.363617;22.14325
1099;0.0785;0.3555265;27.6405
1302;0.083;0.348907;33.04275
1501;0.0865;0.3437585;37.948
